read_type,depth,med_L,r_range,accuracy,err_profile,prj_name,REF
ONT,10,15000,500-80000,90%,/pub/jenyuw/Software/Sim-it-Sim-it1.3.4/error_profile_ONT.txt,ONT_10x_0.9,
ONT,20,15000,500-80000,90%,/pub/jenyuw/Software/Sim-it-Sim-it1.3.4/error_profile_ONT.txt,ONT_20x_0.9,
ONT,30,15000,500-80000,90%,/pub/jenyuw/Software/Sim-it-Sim-it1.3.4/error_profile_ONT.txt,ONT_30x_0.9,
ONT,40,15000,500-80000,90%,/pub/jenyuw/Software/Sim-it-Sim-it1.3.4/error_profile_ONT.txt,ONT_40x_0.9,
ONT,50,15000,500-80000,90%,/pub/jenyuw/Software/Sim-it-Sim-it1.3.4/error_profile_ONT.txt,ONT_50x_0.9,
ONT,60,15000,500-80000,90%,/pub/jenyuw/Software/Sim-it-Sim-it1.3.4/error_profile_ONT.txt,ONT_60x_0.9,
ONT,70,15000,500-80000,90%,/pub/jenyuw/Software/Sim-it-Sim-it1.3.4/error_profile_ONT.txt,ONT_70x_0.9,
ONT,100,15000,500-80000,90%,/pub/jenyuw/Software/Sim-it-Sim-it1.3.4/error_profile_ONT.txt,ONT_100x_0.9,
ONT,10,15000,500-80000,99%,/pub/jenyuw/Software/Sim-it-Sim-it1.3.4/error_profile_ONT.txt,ONT_10x_0.99,
ONT,20,15000,500-80000,99%,/pub/jenyuw/Software/Sim-it-Sim-it1.3.4/error_profile_ONT.txt,ONT_20x_0.99,
ONT,30,15000,500-80000,99%,/pub/jenyuw/Software/Sim-it-Sim-it1.3.4/error_profile_ONT.txt,ONT_30x_0.99,
ONT,40,15000,500-80000,99%,/pub/jenyuw/Software/Sim-it-Sim-it1.3.4/error_profile_ONT.txt,ONT_40x_0.99,
ONT,50,15000,500-80000,99%,/pub/jenyuw/Software/Sim-it-Sim-it1.3.4/error_profile_ONT.txt,ONT_50x_0.99,
ONT,60,15000,500-80000,99%,/pub/jenyuw/Software/Sim-it-Sim-it1.3.4/error_profile_ONT.txt,ONT_60x_0.99,
ONT,70,15000,500-80000,99%,/pub/jenyuw/Software/Sim-it-Sim-it1.3.4/error_profile_ONT.txt,ONT_70x_0.99,
ONT,100,15000,500-80000,99%,/pub/jenyuw/Software/Sim-it-Sim-it1.3.4/error_profile_ONT.txt,ONT_100x_0.99,
Sequel2,10,25000,5000-65000,90%,/pub/jenyuw/Software/Sim-it-Sim-it1.3.4/error_profile_PB_Sequel2.txt,Sequel2_10x_0.9,SRX16082717
